strain	date
MN908947.3	2019-12-15
22MM500827/BA.2.2/2022-05-28/Local_case	2022-05-28
22MM500973/BA.2.2/2022-05-29/Local_case	2022-05-29
22MM071220/BA.2.2/2022-06-22/Local_case/TMH/AE/PTRN/WNCH/CASE03	2022-06-22
22MM529802/BA.2.2/2022-06-26/Local_case/TMH/AE/RN/FKY/CASE07	2022-06-26
22MM071566/BA.2.2/2022-06-21/Local_case/TMH/AE/LSH/CASE11	2022-06-21
22MM070589/BA.2.2/2022-06-22/Local_case/TMH/AE/PCA2/HSM/CASE05	2022-06-22
22MM070592/BA.2.2/2022-06-22/Local_case/TMH/AE/MO/LKY/CASE04	2022-06-22
22MM073063/BA.2.2/2022-06-24/Local_case/TMH/AE/RN/KWM/CASE06	2022-06-24
22MM068513/BA.2.2/2022-06-17/Local_case/TMH/AE/MO/KWKR/CASE01	2022-06-17
22MM068584/BA.2.2/2022-06-18/Local_case	2022-06-18
22MM071667/BA.2.2/2022-06-21/Local_case	2022-06-21
22MM528937/BA.2.2/2022-06-23/Local_case	2022-06-23
22MM071092/BA.2.2/2022-06-23/Local_case	2022-06-23
22V0176345/BA.2.2/2022-06-25/Local_case	2022-06-25
22V3730146/BA.2.2/2022-06-24/Local_case	2022-06-24
22V3729272/BA.2.2/2022-06-24/Local_case	2022-06-24
22V3737600/BA.2.2/2022-06-25/Local_case	2022-06-25
22V3737648/BA.2.2/2022-06-25/Local_case	2022-06-25
22V3714328/BA.2.2/2022-06-22/Local_case	2022-06-22
22V0172987/BA.2.2/2022-06-22/Local_case	2022-06-22
22MV654628/BA.2.2/2022-06-22/Local_case	2022-06-22
22MV655050/BA.2.2/2022-06-24/Local_case	2022-06-24
22MC870973/BA.2.2/2022-06-27/Local_case/CMC/11A/AIIR/CSS	2022-06-27
22MB344786/BA.2.2/2022-07-03/Local_case/CMC/11A/P1/NYB	2022-07-03
22MC871719/BA.2.2/2022-07-03/Local_case/CMC/11A/P2/YTY	2022-07-03
22MC871723/BA.2.2/2022-07-03/Local_case/CMC/11A/P3/KWK	2022-07-03
22TM338497/BA.2.2/2022-07-06/Local_case/CMC/11A/AIIR/SL	2022-07-06
22MB344833/BA.2.2/2022-07-03/Local_case/CMC/11A/AIIR/YCK	2022-07-03
22M5016735/BA.2.2/2022-06-30/Local_case/TKOH/SHEK_MM	2022-06-30
22M5017185/BA.2.2/2022-07-05/Local_case/TKOH/OR_YK	2022-07-05
22M5016695/BA.2.2/2022-06-30/Local_case/TKOH/LUI_WC	2022-06-30
22M5016418/BA.2.2/2022-06-28/Local_case/TKOH/LEE_YT	2022-06-28
